Date;SPOT;6M;1Y;18M;2Y;3Y;4Y;5Y;6Y;7Y;8Y;9Y;10Y;11Y;12Y;15Y;20Y;25Y;30Y;40Y;50Y
02/01/2020;-0.379000008;-0.3865;-0.38825;-0.381;-0.37;-0.33;-0.2775;-0.2205;-0.158;-0.093;-0.026;0.04;0.107;0.1665;0.2245;0.373;0.514;0.558;0.5575;0.51705;0.4636
03/01/2020;-0.384000003;-0.3917;-0.3961;-0.394;-0.38485;-0.3525;-0.3075;-0.2555;-0.198;-0.137;-0.071;-0.0055;0.055;0.1175;0.1755;0.3225;0.4635;0.5065;0.505;0.45955;0.40555
06/01/2020;-0.38499999;-0.3928;-0.398;-0.395;-0.3875;-0.35655;-0.3135;-0.264;-0.206;-0.1465;-0.08;-0.015;0.046;0.11;0.168;0.315;0.457;0.501;0.4975;0.45955;0.4075
07/01/2020;-0.386999995;-0.3953;-0.403;-0.3992;-0.392;-0.362;-0.3205;-0.272;-0.216;-0.153;-0.089;-0.0215;0.045;0.1025;0.161;0.307;0.4535;0.496;0.498;0.4599;0.407
08/01/2020;-0.389999986;-0.3972;-0.4;-0.394;-0.3825;-0.347;-0.299;-0.243;-0.182;-0.12;-0.0535;0.014;0.08;0.141;0.202;0.35035;0.499;0.547;0.548;0.507;0.4505
09/01/2020;-0.393000007;-0.3975;-0.397;-0.388;-0.37425;-0.3327;-0.279;-0.223;-0.162;-0.099;-0.0331;0.034;0.0995;0.161;0.2181;0.369;0.514;0.562;0.5635;0.53205;0.47455
10/01/2020;-0.395000011;-0.397;-0.3958;-0.387;-0.375;-0.333;-0.282;-0.2275;-0.166;-0.104;-0.0395;0.026;0.08895;0.151;0.2085;0.357;0.5025;0.551;0.55445;0.5218;0.4696
13/01/2020;-0.388999999;-0.394;-0.39265;-0.3823;-0.3655;-0.319;-0.2655;-0.204;-0.1425;-0.077;-0.009;0.059;0.125;0.1885;0.2485;0.399;0.5495;0.601;0.605;0.571;0.5194
14/01/2020;-0.391000003;-0.3946;-0.3938;-0.383;-0.36585;-0.3195;-0.263;-0.20475;-0.142;-0.079;-0.014;0.053;0.11785;0.1804;0.2395;0.3905;0.537;0.5879;0.593;0.5585;0.5065
15/01/2020;-0.393000007;-0.3958;-0.394;-0.383;-0.36765;-0.324;-0.27275;-0.2175;-0.156;-0.0905;-0.02855;0.0375;0.1025;0.164;0.224;0.3715;0.5185;0.569;0.573;0.52625;0.4755
16/01/2020;-0.393000007;-0.396;-0.3945;-0.385;-0.372;-0.334;-0.2845;-0.232;-0.175;-0.114;-0.0485;0.0165;0.0805;0.142;0.201;0.3505;0.497;0.5475;0.5525;0.519;0.46815
17/01/2020;-0.391000003;-0.3948;-0.3935;-0.385;-0.3716;-0.333;-0.282;-0.229;-0.1715;-0.1107;-0.0467;0.0195;0.083;0.1445;0.2025;0.352;0.4985;0.55;0.555;0.521;0.4685
