DATES;EESWE1Z BGN Curncy;EESWE2Z BGN Curncy;EESWEA BGN Curncy;EESWEB BGN Curncy;EESWEC BGN Curncy;EESWED BGN Curncy;EESWEE BGN Curncy;EESWEF BGN Curncy;EESWEG BGN Curncy;EESWEH BGN Curncy;EESWEI BGN Curncy;EESWEJ BGN Curncy;EESWEK BGN Curncy;EESWE1 BGN Curncy;EESWE1F BGN Curncy;EESWE2 BGN Curncy;EESWE3 BGN Curncy;EESWE4 BGN Curncy;EESWE5 BGN Curncy;EESWE6 BGN Curncy;EESWE7 BGN Curncy;EESWE8 BGN Curncy;EESWE9 BGN Curncy;EESWE10 BGN Curncy;EESWE11 BGN Curncy;EESWE12 BGN Curncy;EESWE15 BGN Curncy;EESWE20 BGN Curncy;EESWE25 BGN Curncy;EESWE30 BGN Curncy;EESWE40 BGN Curncy;EESWE50 BGN Curncy
01/01/2020;-0,5343;-0,528;-0,532;-0,5295;-0,53;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2020;-0,532;-0,532;-0,5316;-0,5316;-0,5324;-0,524;-0,5313;-0,527;-0,5322;-0,5326;-0,533;-0,533;-0,529;-0,5335;-0,532;-0,524;-0,493;-0,45;-0,3976;-0,338;-0,276;-0,2109;-0,146;-0,083;-0,023;0,036;0,184;0,327;0,374;0,3751;0,34245;0,297
03/01/2020;-0,534;-0,534;-0,5346;-0,535;-0,5355;-0,521;-0,536;-0,5365;-0,5383;-0,533;-0,54;-0,54;-0,534;-0,541;-0,543;-0,543;-0,5155;-0,479;-0,433;-0,3795;-0,3209;-0,259;-0,1954;-0,1345;-0,0749;-0,018;0,129;0,27125;0,3163;0,31975;0,288;0,245
06/01/2020;-0,538;-0,5377;-0,538;-0,5378;-0,53775;-0,5382;-0,539;-0,5394;-0,5404;-0,541;-0,542;-0,542;-0,5425;-0,5435;-0,545;-0,542;-0,5205;-0,486;-0,4432;-0,388;-0,3288;-0,2665;-0,2031;-0,142;-0,082;-0,0245;0,122;0,266;0,313;0,315;0,284;0,24
07/01/2020;-0,538;-0,538;-0,538;-0,538;-0,5385;-0,5385;-0,539;-0,5401;-0,5413;-0,5425;-0,5435;-0,5449;-0,5455;-0,545;-0,5485;-0,55;-0,5254;-0,493;-0,45035;-0,397;-0,3372;-0,274;-0,21;-0,147;-0,087;-0,0295;0,1188;0,2637;0,3124;0,316;0,2854;0,245
08/01/2020;-0,53815;-0,53845;-0,539;-0,539;-0,539;-0,539;-0,539;-0,539;-0,541;-0,5411;-0,542;-0,5422;-0,542;-0,543;-0,545;-0,542;-0,51;-0,469;-0,419;-0,3611;-0,301;-0,238;-0,1715;-0,109;-0,047;0,0115;0,162;0,3099;0,3608;0,3655;0,337;0,296
09/01/2020;-0,536;-0,536;-0,536;-0,536;-0,536;-0,5375;-0,538;-0,5385;-0,5375;-0,5375;-0,5375;-0,5375;-0,5375;-0,5375;-0,5345;-0,53;-0,4937;-0,4501;-0,3992;-0,3406;-0,282;-0,2185;-0,15385;-0,09155;-0,03145;0,02625;0,17485;0,32185;0,373;0,38;0,352;0,31
10/01/2020;-0,53695;-0,53735;-0,533;-0,5365;-0,5359;-0,5358;-0,536;-0,536;-0,5363;-0,536;-0,5368;-0,5369;-0,5369;-0,529;-0,5335;-0,528;-0,4935;-0,45;-0,401;-0,344;-0,284;-0,2205;-0,157;-0,095;-0,0345;0,023;0,171;0,31825;0,36925;0,37575;0,348;0,31
13/01/2020;-0,536;-0,536;-0,5369;-0,5365;-0,5365;-0,5358;-0,536;-0,536;-0,536;-0,536;-0,536;-0,537;-0,5363;-0,535;-0,529;-0,518;-0,482;-0,4335;-0,38;-0,3196;-0,256;-0,19;-0,124;-0,06;0,002;0,061;0,211;0,3619;0,41575;0,4254;0,3978;0,35
14/01/2020;-0,536;-0,536;-0,5355;-0,535;-0,5355;-0,5358;-0,535;-0,5355;-0,535;-0,5345;-0,5349;-0,531;-0,534;-0,5335;-0,528;-0,52;-0,478;-0,4316;-0,377;-0,32;-0,258;-0,194;-0,1295;-0,0655;-0,005;0,0535;0,20175;0,35;0,403;0,412;0,38455;0,345
