Date,USGG2YR Index
6/1/1976,7.26
6/2/1976,7.23
6/3/1976,7.22
6/4/1976,7.12
6/7/1976,7.09
6/8/1976,7.11
6/9/1976,7.08
6/10/1976,7
6/11/1976,7.03
6/14/1976,7.01
6/15/1976,7.02
6/16/1976,7.06
6/17/1976,7.06
6/18/1976,6.99
6/21/1976,6.95
6/22/1976,7.01
6/23/1976,7.01
6/24/1976,6.99
6/25/1976,7.02
6/28/1976,7.02
6/29/1976,7.02
6/30/1976,7.02
7/1/1976,7.02
7/2/1976,6.99
7/6/1976,6.96
7/7/1976,6.99
7/8/1976,6.92
7/9/1976,6.77
7/12/1976,6.72
7/13/1976,6.74
7/14/1976,6.76
7/15/1976,6.72
7/16/1976,6.85
7/19/1976,6.89
7/20/1976,6.91
7/21/1976,6.9
7/22/1976,6.91
7/23/1976,6.9
7/26/1976,6.86
7/27/1976,6.76
7/28/1976,6.79
7/29/1976,6.75
7/30/1976,6.74
8/2/1976,6.75
8/3/1976,6.72
8/4/1976,6.73
8/5/1976,6.74
8/6/1976,6.71
8/9/1976,6.68
8/10/1976,6.68
8/11/1976,6.66
8/12/1976,6.64
8/13/1976,6.6
8/16/1976,6.57
8/17/1976,6.57
8/18/1976,6.59
8/19/1976,6.61
8/20/1976,6.68
8/23/1976,6.62
8/24/1976,6.6
8/25/1976,6.53
8/26/1976,6.54
8/27/1976,6.6
8/30/1976,6.57
8/31/1976,6.5
9/1/1976,6.5
9/2/1976,6.54
9/3/1976,6.52
9/7/1976,6.46
9/8/1976,6.44
9/9/1976,6.49
9/10/1976,6.46
9/13/1976,6.47
9/14/1976,6.49
9/15/1976,6.45
9/16/1976,6.41
9/17/1976,6.26
9/20/1976,6.34
9/21/1976,6.3
9/22/1976,6.36
9/23/1976,6.35
9/24/1976,6.44
9/27/1976,6.41
9/28/1976,6.36
9/29/1976,6.36
9/30/1976,6.33
10/1/1976,6.24
10/4/1976,6.19
10/5/1976,6.19
10/6/1976,6.11
10/7/1976,6.09
10/8/1976,5.87
10/12/1976,5.8
10/13/1976,5.82
10/14/1976,5.81
10/15/1976,5.75
10/18/1976,5.77
10/19/1976,5.85
10/20/1976,5.95
10/21/1976,5.98
10/22/1976,6.07
10/25/1976,6.11
10/26/1976,6.05
10/27/1976,6.01
10/28/1976,5.99
10/29/1976,6.03
11/1/1976,6.03
11/3/1976,6.07
11/4/1976,5.95
11/5/1976,6.01
11/8/1976,6.04
11/9/1976,6.07
11/10/1976,6.03
11/12/1976,6.01
11/15/1976,6
11/16/1976,5.86
11/17/1976,5.82
11/18/1976,5.83
11/19/1976,5.67
11/22/1976,5.56
11/23/1976,5.59
11/24/1976,5.56
11/26/1976,5.41
11/29/1976,5.46
11/30/1976,5.42
12/1/1976,5.4
12/2/1976,5.34
12/3/1976,5.31
12/6/1976,5.37
12/7/1976,5.41
12/8/1976,5.43
12/9/1976,5.44
12/10/1976,5.31
12/13/1976,5.43
12/14/1976,5.39
12/15/1976,5.38
12/16/1976,5.4
12/17/1976,5.4
12/20/1976,5.34
12/21/1976,5.37
12/22/1976,5.34
12/23/1976,5.36
12/27/1976,5.37
12/28/1976,5.39
12/29/1976,5.39
12/30/1976,5.38
12/31/1976,5.34
1/3/1977,5.42
1/4/1977,5.5
1/5/1977,5.48
1/6/1977,5.57
1/7/1977,5.68
1/10/1977,5.79
1/11/1977,5.87
1/12/1977,5.84
1/13/1977,5.79
1/14/1977,5.96
1/17/1977,5.98
1/18/1977,6.04
1/19/1977,6.02
1/20/1977,6.01
1/21/1977,6.02
1/24/1977,6.09
1/25/1977,6.08
1/26/1977,6.09
1/27/1977,6.26
1/28/1977,6.22
1/31/1977,6.189
2/1/1977,6.209
2/2/1977,6.289
2/3/1977,6.219
2/4/1977,6.039
2/7/1977,6.049
2/8/1977,6.069
2/9/1977,6.019
2/10/1977,6.049
2/11/1977,6.029
2/14/1977,6.069
2/15/1977,6.049
2/16/1977,6.029
2/17/1977,5.999
2/18/1977,6.069
2/22/1977,6.099
2/23/1977,6.129
2/24/1977,6.209
2/25/1977,6.149
2/28/1977,6.089
3/1/1977,6.169
3/2/1977,6.129
3/3/1977,6.089
3/4/1977,6.109
3/7/1977,6.129
3/8/1977,6.149
3/9/1977,6.129
3/10/1977,6.119
3/11/1977,6.099
3/14/1977,6.069
3/15/1977,6.069
3/16/1977,6.089
3/17/1977,6.149
3/18/1977,6.089
3/21/1977,6.039
3/22/1977,6.049
3/23/1977,6.049
3/24/1977,6.079
3/25/1977,6.109
3/28/1977,6.119
3/29/1977,6.089
3/30/1977,6.059
